_time;dvc_name;src_ip;dest_ip;dest_port;application
2026-06-17T11:15:29.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.101;10009;web-browsing
2026-06-17T11:03:01.100+0000;IE1ENSFW01;10.204.249.246;10.175.216.101;10001;web-browsing
2026-06-17T11:02:07.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.36;10001;web-browsing
2026-06-17T10:31:50.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.82;9580;web-browsing
2026-06-17T10:30:35.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.124;40081;web-browsing
2026-06-17T10:21:00.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.149;10000;web-browsing
2026-06-17T10:13:32.100+0000;IE1ENSFW01;10.204.249.246;10.175.217.245;10009;web-browsing
2026-06-17T12:26:46.100+0000;IE1ENSFW01;10.204.249.198;10.175.218.214;10000;web-browsing
2026-06-17T11:15:05.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.101;10003;web-browsing
2026-06-17T11:05:19.100+0000;IE1ENSFW01;10.204.249.198;10.175.216.101;10010;web-browsing
2026-06-17T10:58:35.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.36;8830;web-browsing
2026-06-17T10:33:20.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.82;10008;web-browsing
2026-06-17T10:28:09.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.124;10006;web-browsing
2026-06-17T10:22:48.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.149;10000;web-browsing
2026-06-17T10:17:00.100+0000;IE1ENSFW01;10.204.249.198;10.175.217.245;10011;web-browsing
2026-06-17T12:26:39.100+0000;IE1ENSFW01;10.145.5.51;10.246.242.218;47074;incomplete
2026-06-17T12:26:38.100+0000;IE1ENSFW01;10.145.5.51;10.246.247.126;43594;incomplete
2026-06-17T11:55:04.100+0000;IE1ENSFW01;10.145.5.51;10.246.250.225;53374;incomplete
2026-06-17T11:29:58.100+0000;IE1ENSFW01;10.145.5.51;10.246.248.76;55648;incomplete
2026-06-17T11:28:02.100+0000;IE1ENSFW01;10.145.5.51;10.246.251.129;33602;incomplete
2026-06-17T11:14:02.100+0000;IE1ENSFW01;10.145.5.51;10.246.244.210;50384;incomplete
2026-06-17T10:58:37.100+0000;IE1ENSFW01;10.145.5.51;10.246.247.133;39044;incomplete
